message;severity;node;stamp;location
"[SLAM_PROCESS_CONES] observations=8, landmarks=8, candidates=0";"10";"cc_slam_node";"1752768745.146657094";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768745.109225338";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"Backend now has 1 keyframes";"10";"cc_slam_node";"1752768745.095652606";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:374"
"[SLAM_BACKEND_STATE] graph_size=1, factors_since_opt=1, keyframes_since_opt=1";"10";"cc_slam_node";"1752768745.095375685";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:364"
"[SLAM_OBSERVATION_FACTORS] Added 0 observation factors for keyframe 0";"20";"cc_slam_node";"1752768745.095085448";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:353"
"[SLAM_KEYFRAME_CREATED] id=0, pose=[30.10,12.74,0.02]";"20";"cc_slam_node";"1752768745.094710482";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:317"
"[SLAM_ASSOCIATION] matched_pairs=0, unmatched_obs=8";"10";"cc_slam_node";"1752768745.094330656";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
"[SLAM_PROCESS_CONES] observations=8, landmarks=0, candidates=8";"10";"cc_slam_node";"1752768745.093984127";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"Odometry simulation: ENABLED";"20";"dummy_publisher";"1752768745.059893798";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/simulation/dummy_publisher_node.py:__init__:227"
"Dummy publisher initialized (refactored version)";"20";"dummy_publisher";"1752768745.059572479";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/simulation/dummy_publisher_node.py:__init__:226"
"Using Scenario 2: Formula Student track";"20";"dummy_publisher";"1752768744.988063877";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/simulation/dummy_publisher_node.py:__init__:139"
"CC-SLAM-SYM node initialized";"20";"cc_slam_node";"1752768731.572128844";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:__init__:79"
